,word,score,count,ratio
540,💼,0,5,0.0
33,🪀,0,2,0.0
569,🟢,0,3,0.0
718,🌭,0,1,0.0
566,🔟,0,1,0.0
560,👬,0,5,0.0
729,🩰,0,4,0.0
730,🐓,0,7,0.0
501,🌥,0,1,0.0
731,🥝,0,2,0.0
553,🐌,0,3,0.0
552,🛶,0,2,0.0
548,🏄,0,7,0.0
547,♿,0,5,0.0
43,🌉,0,2,0.0
543,🛀,0,5,0.0
739,🏛,0,3,0.0
555,🔇,0,1,0.0
1062,🟡,0,4,0.0
570,🟠,0,3,0.0
1027,➰,0,2,0.0
246,↘,0,2,0.0
967,🧝,0,2,0.0
307,🍍,0,8,0.0
308,🤵,0,4,0.0
309,👝,0,1,0.0
123,🥦,0,1,0.0
248,🌓,0,3,0.0
965,👫,0,3,0.0
970,📥,0,2,0.0
159,⛺,0,2,0.0
901,💠,0,4,0.0
121,🕹,0,8,0.0
1024,🍙,0,2,0.0
119,🦒,0,3,0.0
118,👰,0,9,0.0
941,👴,0,4,0.0
250,🛢,0,3,0.0
217,🧏,0,3,0.0
147,🗒,0,1,0.0
948,🧂,0,1,0.0
227,🧍,0,2,0.0
1025,🛹,0,1,0.0
151,🧖,0,3,0.0
150,🎌,0,1,0.0
955,🚯,0,3,0.0
289,🚂,0,6,0.0
1022,🍖,0,4,0.0
951,🤼,0,1,0.0
222,🧨,0,2,0.0
1035,🔁,0,16,0.0
284,🇶,0,7,0.0
128,🧓,0,1,0.0
283,✂,0,12,0.0
239,🔍,0,4,0.0
907,🛩,0,2,0.0
218,🩲,0,1,0.0
305,🏔,0,5,0.0
205,😶,0,67,0.0
160,🤳,0,4,0.0
899,♏,0,4,0.0
323,📹,0,13,0.0
331,🥄,0,1,0.0
929,🈯,0,1,0.0
937,🔝,0,17,0.0
190,🍇,0,7,0.0
992,🕐,0,4,0.0
185,🤐,0,39,0.0
930,⏲,0,1,0.0
985,🧞,0,1,0.0
1013,🙁,0,73,0.0
879,🎄,0,1,0.0
1006,🦽,0,2,0.0
335,⚰,0,9,0.0
172,♟,0,3,0.0
1061,🦰,0,2,0.0
173,↔,0,1,0.0
261,✡,0,2,0.0
1012,🕞,0,2,0.0
194,🚓,0,4,0.0
291,🧯,0,1,0.0
938,🦇,0,20,0.0
200,➕,0,4,0.0
274,❄,0,51,0.0
201,🩺,0,2,0.0
891,📜,0,9,0.0
324,🏢,0,1,0.0
325,⤴,0,1,0.0
272,⛲,0,1,0.0
529,🕉,1,1,1.0
738,🟩,1,2,0.5
737,🏥,1,2,0.5
950,🦻,1,1,1.0
763,🌜,1,5,0.2
942,👖,1,5,0.2
149,🕒,1,1,1.0
1104,🚖,1,1,1.0
936,🦷,1,4,0.25
733,❕,1,8,0.125
502,👭,1,1,1.0
519,🔅,1,2,0.5
236,👁,1,69,0.014492753623188406
750,🎣,1,6,0.16666666666666666
